user_id,product_id,product_category,interaction,price
310,306,Clothing,0,162.16993642543628
718,407,Electronics,0,1998.5799846764673
747,391,Furniture,1,1039.3980151176565
788,409,Clothing,1,321.36317481167697
529,472,Toys,1,163.9008841112511
589,187,Groceries,1,41.77837743201139
68,184,Clothing,0,284.4241588309824
999,28,Groceries,0,75.31022854588625
359,84,Electronics,1,731.0962009316451
968,26,Clothing,1,90.28034356466817
474,253,Electronics,1,1048.0758721152233
1,361,Electronics,0,1403.1536760605086
859,471,Groceries,1,190.7466714976388
974,117,Furniture,0,1289.435920598869
174,87,Toys,0,118.97558229257473
549,433,Electronics,0,896.1680354848122
500,313,Toys,0,159.43831164087135
935,103,Electronics,0,618.7562049964677
212,432,Furniture,0,520.4850982756493
372,474,Electronics,1,1230.6336729128875
201,363,Clothing,0,119.28537884644237
185,292,Electronics,1,762.9403590359041
418,307,Clothing,0,49.553271561435395
147,307,Toys,0,94.1277076014457
795,114,Toys,1,15.823828837914142
999,428,Clothing,0,315.8768652057326
440,479,Groceries,0,196.60668194359025
733,41,Groceries,1,66.28883492793253
685,109,Furniture,0,1590.6847099050092
622,441,Electronics,0,1539.0948979529198
151,418,Clothing,0,490.5488199607955
305,320,Groceries,1,267.1311799963669
921,213,Furniture,0,556.6312912310458
67,333,Toys,0,68.28625353868738
129,151,Toys,0,77.49918789323849
824,372,Electronics,0,506.11040911719624
288,88,Electronics,1,100.14474924364319
567,317,Electronics,1,1551.2258422840705
988,477,Electronics,1,1231.2158831410902
508,20,Groceries,1,70.0815060478004
638,33,Electronics,1,387.9252493646572
824,354,Furniture,0,1680.26040909056
567,159,Groceries,0,105.7307736909962
482,185,Clothing,1,156.3050365439
952,326,Electronics,1,1194.9987389655037
339,291,Toys,1,18.5700139095292
399,23,Furniture,0,1765.4373048874008
973,195,Electronics,0,650.5723255182054
208,428,Clothing,1,59.612068682568626
430,346,Toys,0,58.03739868423949
490,120,Furniture,1,1311.314961790953
711,454,Clothing,1,387.02291977399005
857,455,Electronics,1,692.1686555035872
281,494,Toys,0,86.22148789816825
29,390,Groceries,1,70.80712548358093
952,320,Toys,1,30.070143863877263
352,73,Clothing,1,155.9134817611883
640,209,Electronics,1,1569.326627766457
646,458,Groceries,0,76.08367336183686
150,327,Electronics,1,1933.221066055051
507,368,Clothing,0,316.59774340642497
865,235,Electronics,1,728.574186934149
292,261,Toys,0,122.98915044928754
491,264,Clothing,1,449.3987227771804
146,437,Furniture,0,1406.4314296710334
482,494,Electronics,0,1432.7560158069568
795,425,Toys,1,28.26038317394993
493,480,Toys,1,94.34807128346469
928,428,Toys,0,15.521746205634912
47,81,Groceries,1,129.87377020268798
459,176,Furniture,0,1744.5575620279324
857,64,Toys,1,20.312451859233377
655,18,Clothing,0,92.81553505631754
460,149,Groceries,1,229.65969236705598
721,274,Clothing,1,297.13398303327693
291,200,Groceries,1,90.04578608939221
815,392,Groceries,0,182.01015805383145
